Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
"Which contributor to the Enlightenment identified two key aspects to our existence, liberty and property?",MCQ,John Locke,Thomas Hobbes,The caucusThey are things the president must do for the people. convention,Montesquieu,
What is the purpose of the Occupy Wall Street movement?,MCQ,It advocates for a correction of today's economic inequalities.,It advocates for increased minority voting rights.,It speaks out against the racial inequality in employment.,It advocates for greater regulation of religious ideologies.,
There were several factors that significantly contributed to the government structure outlined in the Articles of Confederation. What was one of them?,MCQ,Americans wished the government to be representative of the states.,The states were unable to protect American ships from attacks by the Barbary pirates.,Taxation was a well-recognized way for the national government to retain control over the individual states.,The people wanted a strong central government to gather defenses in times of war.,
What was a major difference between the Articles of Confederation and the Constitution?,MCQ,The Articles of Confederation did not provide for a national judiciary.,The Articles of Confederation required states to provide troops for national defense.,The Articles of Confederation did not allow states to establish banks.,The Articles of Confederation required states to pay for land claims west of the Appalachian Mountains.,
"Which concepts were James Madison referencing when he stated, ""Ambition must be made to counteract ambition"" in Federalist, no. 51?",MCQ,Separation of powers and checks and balances,Equality and individual rights,Life and the pursuit of happiness,Free enterprise and competition,
What is a judicial check on the executive branch?,MCQ,The Supreme Court can declare actions by the executive branch unconstitutional.,The Supreme Court can block a declaration of war.,The Supreme Court can override an executive pardon.,The Supreme Court can veto an executive order.,
What describes a legislative check on the judicial branch?,MCQ,Congress can change the Supreme Court's jurisdiction.,Congress can appoint federal judges.,Congress can limit the term of a Supreme Court justice.,Congress can override a Supreme Court decision.,
What best explains why individual members of the Senate have more legislative power than individual members of the House of Representatives? ,MCQ,The smaller total number of Senate members compared to the number of representatives,The ability of the Senate to approve members of the president's cabinet,The higher minimum age requirement in the Senate,The increased length of the term of office in the Senate,
What describes the equal proportions method of congressional apportionment?,MCQ,Congressional districts are drawn in order to maintain similar numbers of voters in each district.,Congressional districts are drawn so that states are each given an equal number of members in the House of Representatives.,Congressional districts are drawn to guarantee that each district will be equally represented in the Senate. ,Congressional districts are drawn so each will have an equal number of members of the Republican and Democratic parties. ,
What is an example of a congressional allocation that would influence the national budget to help a member of congress's district or state?,MCQ,Funds for the building of an airport in a congressperson's district,A congressperson's support for a colleague's bill if the colleague will support the congresspersons's bill,Exemptions written into the law that only benefit a certain political action committee,Money appropriated to specific projects that benefit a congressperson's personal businesses,
Why is the House Rules Committee one of the most powerful committees in the U.S. House of Representatives?,MCQ,It determines the rules for debate and in what order to schedule consideration of bills in the House.,It sets rules that must be followed by both the House of Representatives and the Senate.,It defines the process of selecting the majority leader in the House of Representatives.,It is made up of senior representatives who have served at least three terms in office.,
Which constitutional amendment established term limits for the president?,MCQ,The Twenty-Second Amendment,The Twentieth Amendment,The Seventeenth Amendment,The Nineteenth Amendment,
How can an outgoing president exert significant influence over a new president’s administration?,MCQ,By having a budget that affects the ability of the incoming administration to pursue new initiatives,By continuing to operate through the first 100 days during the incoming administration's transition,By reserving a seat in the new president's cabinet,By participating in agenda setting during the transition,
What describes the importance of the Supreme Court decision in Marbury v. Madison?,MCQ,It established the principle of judicial review.,It affirmed the presidential use of veto power.,It protected presidential control over the military. ,It reinforced congressional impeachment power.,
How are individuals nominated to the Supreme Court?,MCQ,They are chosen by the president of the United States.,They are confirmed by the House of Representatives.,They are selected from the current pool of federal judges.,They are chosen from the available constitutional law professors.,
How does the 14th Amendment affect the powers of the federal judiciary?,MCQ,It expanded the judiciary’s power over states that applied laws unfairly.,It restricted the judiciary’s power to national issues instead of state issues.,It expanded the judiciary’s power to rule in disputes between states.,It restricted the judiciary’s power to override state constitutions.,
What is a power reserved for the states?,MCQ,Conducting elections,Declaring war,Coining money,Conducting foreign relations,
Which constitutional amendment allows states to reserve powers not explicitly granted to the national government?,MCQ,The Tenth Amendment,The Eighth Amendment,The Twelfth Amendment,The Nineteenth Amendment,
What did the Supreme Court's ruling in Gibbons v. Ogden establish?,MCQ,A loose constructionist interpretation of the commerce clause,A basis for exercising broad states' rights under the Tenth Amendment,A strict constructionist interpretation of the supremacy clause,A foundation for the constitutional principle of judicial review,
