Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
"Which Supreme Court case held that the Commerce Clause grants Congress the power to regulate any aspect of commerce that crosses state lines, including modes of transportation?",MCQ,Gibbons v. Ogden,Marbury v. Madison,Fletcher v. Peck,"Employment Division, Department of Human Resources of Oregon v. Smith","Gibbons v. Ogden was an 1824 case regarding the regulation of steamboat navigation in New York. The Court ruled that under Article I’s Commerce Clause, Congress has the power to regulate any aspect of commerce that crosses state lines, including modes of transportation. It furthermore declared that such regulation preempts conflicting regulation by the states. Since Gibbons, the Commerce Clause has provided the basis for sweeping congressional power over a multitude of national issues."
Which Supreme Court case established that police must advise criminal suspects of their Constitutional rights before questioning them?,MCQ,Miranda v. Arizona,Michigan v. Jackson,Mapp v. Ohio,Escobedo v. Illinois,"Miranda v. Arizona was a 5–4 decision made in 1966. The Court held that statements made in response to police interrogation are admissible at trial only if the prosecution: can show that the defendant was informed of the right to consult with an attorney before, and during the questioning, and was also informed of the right against self-incrimination. For the statements to be admissible, the defendant must have learned, understood, and voluntarily waived these rights."
Which Supreme Court case struck down state funding for religious schools?,MCQ,Lemon v. Kurtzman,Engel v. Vitale,Kitzmiller v. Dover Area School District,Tinker v. Des Moines Independent School District,"The 1968 Lemon v. Kurtzman ruling regarded the uncertain constitutionality of Pennsylvania's Nonpublic Elementary and Secondary Education Act, which allowed the Superintendent of Public Schools to reimburse private schools for the salaries of teachers in these schools (most of which were Catholic schools). In an 8–1 ruling, the Supreme Court found this Act to be an unconstitutional violation of the Establishment Clause of the First Amendment."
Which Supreme Court case upheld state laws requiring racial segregation at public facilities under the “separate but equal” doctrine?,MCQ,Plessy v. Ferguson,Dred Scott v. Sandford,Loving v. Virginia,Brown v. Board of Education,"Plessy v. Ferguson was decided in 1896 in a 7–1 ruling, with only Justice John Marshall Harlan dissenting. The ruling legitimized state laws that established racial segregation in the South, and paved the way for further segregation laws. Achievements from the Reconstruction Era were lost with the ""separate but equal"" doctrine."
Which Supreme Court case invalidated laws prohibiting interracial marriage?,MCQ,Loving v. Virginia,Plessy v. Ferguson,Obergefell v. Hodges,Bolling v. Sharpe,"Loving v. Virginia was decided in 1967 with a unanimous ruling. The Supreme Court held that Virginia's anti-miscegenation statute, which outlawed interracial marriage, violated both the Due Process Clause and the Equal Protection Clause of the 14th Amendment."
Which Supreme Court case held that people of African descent who were brought to the U.S. and held as slaves (and their descendants) were not U.S. citizens and were not protected by the Constitution?,MCQ,Dred Scott v. Sandford,Plessy v. Ferguson,Grutter v. Bollinger,Texas v. Johnson,"Dred Scott was a slave who attempted to sue for his freedom. Dred Scott v. Sandford was a 7–2 ruling issued in 1857. The Court held that people of African descent lacked citizenship according to the Constitution, so Scott did not have standing to file his suit. This ruling overturned the Missouri Compromise of 1820, which had restricted slavery to certain U.S. territories."
"Our free Supreme Court cases quiz will test your knowledge on 28 landmark Supreme Court cases. It is important for every government and politics student to be familiar with each of these important Supreme Court cases. These cases involve individual rights, criminal law, federalism, first amendment rights, and more. This Supreme Court quiz will help you review and memorize these important decisions.",MCQ,Regents of the University of California v. Bakke,Brown v. Board of Education,McCollum v. Board of Education,Plessy v. Ferguson,"Regents of the University of California v. Bakke was decided in 1978. The case split the Court on many issues, with the 9 justices issuing a total of 6 opinions. The ruling upheld affirmative action by declaring that race can serve as one of several factors used in college admissions; however, it also stated that specific racial quotas could not be used."
"Which Supreme Court case held that state courts are required by the Fourteenth Amendment to provide counsel to defendants in criminal cases, extending this Sixth Amendment federal requirement to the states?",MCQ,Gideon v. Wainwright,Weeks v. United States,Miranda v. Arizona,Reid v. Covert,"Gideon v. Wainwright was a unanimous ruling issued in 1963. The Court held that the assistance of counsel is: a fundamental right under the Constitution, binding on the states, and essential for a fair trial and due process of law."
Which Supreme Court case held that the right to marry is guaranteed to same-sex couples?,MCQ,Obergefell v. Hodges,Lawrence v. Texas,Romer v. Evans,Loving v. Virginia,"Obergefell v. Hodges was decided in 2015 by a 5–4 ruling. The Court held that the Due Process Clause and the Equal Protection Clause of the Fourteenth Amendment require states to license marriages between two people of the same sex, and to recognize same-sex marriages that were licensed in other states."
Which Supreme Court case held that the First Amendment right to free speech doesn't protect speech that presents a “clear and present danger?”,MCQ,Schenck v. United States,Miller v. California,Roth v. United States,New York Times v. Sullivan,"Schenck v. United States was a case concerning the enforcement of the Espionage Act of 1917 during World War I. Schenck was distributing leaflets that urged men to boycott the draft. The Court held that criticism of the draft was not protected by the First Amendment, because it created a “clear and present danger” to the U.S. armed forces during a state of war. This case helped to define the modern understanding of the First Amendment, and the opinion included the well know statement that, “The most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.”"
Which Supreme Court case established that a public official suing for defamation must prove that the statement was made with “actual malice?”,MCQ,New York Times v. Sullivan,Reno v. American Civil Liberties Union,Texas v. Johnson,Citizens United v. Federal Election Commission,"New York Times v. Sullivan was a landmark freedom of the press case from 1964. The Southern states had taken many libel actions against news organizations over critical coverage of civil rights issues. This case established the actual malice standard which has to be met for news stories about public officials to be considered as defamation and libel. Actual malice means that the publisher knew that the statement was false, or acted in reckless disregard of its truth or falsity."
